emotion_label	emotion_clause	cause_clause
['JOY', 'SADNESS', 'OTHER']	['39', '43', '112', '117', '154', '163']	['44', '47', '124', '141', '124', '141']
['DISGUST', 'ANTICIPATION']	['59', '75', '89', '97']	['59', '75', '98', '115']
['OTHER', 'JOY']	['56', '72', '56', '72']	['27', '49', '73', '77']
['OTHER', 'DISGUST']	['452', '475', '452', '475']	['157', '311', '313', '331']
['OTHER']	['404', '416']	['370', '399']
['OTHER', 'OTHER', 'DISGUST']	['35', '42', '54', '74', '211', '215']	['128', '165', '128', '165', '152', '165']
['OTHER', 'DISGUST']	['76', '84', '76', '84']	['67', '69', '67', '69']
['OTHER']	['32', '40']	['0', '16']
['SURPRISE']	['160', '166']	['190', '209']
['TRUST']	['79', '87']	['92', '148']
['FEAR']	['35', '41']	['42', '59']
['OTHER']	['41', '56']	['8', '39']
['OTHER', 'OTHER']	['137', '171', '159', '171']	['119', '132', '119', '132']
['OTHER', 'SADNESS', 'ANGER', 'OTHER']	['272', '278', '272', '278', '283', '289', '514', '524']	['510', '548', '313', '327', '510', '548', '510', '548']
['JOY', 'OTHER', 'OTHER', 'JOY']	['136', '143', '136', '143', '164', '175', '164', '175']	['147', '158', '147', '158', '147', '158', '147', '158']
['TRUST']	['13', '51']	['11', '12']
['JOY', 'SURPRISE']	['92', '101', '92', '101']	['102', '107', '102', '107']
['FEAR', 'OTHER']	['139', '161', '139', '161']	['172', '186', '172', '186']
['OTHER', 'SURPRISE']	['316', '336', '316', '336']	['312', '351', '348', '351']
['DISGUST']	['271', '318']	['230', '233']
['OTHER', 'OTHER', 'FEAR']	['336', '348', '209', '218', '209', '218']	['0', '42', '0', '42', '311', '315']
['SADNESS']	['111', '194']	['223', '294']
['SADNESS']	['232', '236']	['187', '200']
['FEAR', 'SADNESS']	['85', '92', '74', '79']	['34', '57', '34', '57']
['SURPRISE']	['147', '156']	['64', '141']
['SURPRISE']	['31', '39']	['21', '30']
['OTHER', 'ANTICIPATION']	['98', '105', '98', '105']	['36', '47', '109', '130']
['OTHER']	['218', '225']	['229', '244']
['SURPRISE']	['223', '233']	['234', '241']
['OTHER']	['56', '89']	['91', '150']
['SURPRISE', 'ANTICIPATION']	['117', '125', '147', '154']	['89', '136', '159', '179']
['TRUST', 'TRUST']	['239', '244', '260', '265']	['248', '250', '248', '250']
['DISGUST', 'FEAR']	['381', '392', '397', '416']	['285', '289', '345', '392']
['DISGUST', 'FEAR', 'ANGER']	['86', '94', '86', '94', '86', '94']	['113', '132', '113', '132', '113', '132']
['SADNESS']	['245', '335']	['175', '184']
['ANTICIPATION']	['32', '38']	['39', '85']
['DISGUST', 'OTHER', 'OTHER', 'OTHER']	['222', '227', '222', '227', '254', '263', '298', '308']	['228', '236', '228', '236', '264', '281', '313', '328']
['OTHER']	['45', '53']	['54', '62']
['OTHER', 'OTHER']	['102', '107', '47', '52']	['0', '40', '0', '40']
['FEAR']	['131', '140']	['154', '245']
['DISGUST', 'OTHER']	['68', '73', '68', '73']	['25', '39', '112', '133']
['JOY', 'OTHER']	['398', '408', '398', '408']	['430', '447', '430', '447']
['ANGER']	['96', '202']	['23', '117']
['DISGUST', 'OTHER']	['381', '393', '381', '393']	['127', '159', '338', '422']
['OTHER']	['195', '200']	['208', '222']
['DISGUST']	['78', '86']	['88', '101']
['OTHER', 'DISGUST']	['79', '88', '142', '163']	['92', '101', '167', '195']
['OTHER']	['88', '95']	['110', '188']
['OTHER', 'OTHER']	['165', '174', '204', '209']	['145', '164', '257', '289']
['OTHER']	['87', '113']	['41', '50']
['TRUST', 'DISGUST', 'OTHER']	['71', '75', '222', '227', '222', '227']	['88', '118', '166', '187', '237', '272']
['OTHER']	['220', '227']	['228', '247']
['OTHER', 'ANTICIPATION', 'JOY']	['79', '85', '79', '85', '146', '156']	['135', '175', '86', '125', '168', '175']
['SADNESS', 'DISGUST', 'OTHER']	['87', '95', '59', '71', '59', '71']	['35', '47', '35', '47', '35', '47']
['SADNESS']	['107', '114']	['58', '71']
['OTHER', 'ANGER', 'DISGUST']	['148', '222', '89', '94', '148', '222']	['1', '57', '1', '57', '148', '222']
['FEAR', 'ANTICIPATION', 'OTHER']	['168', '177', '240', '244', '207', '217']	['181', '187', '193', '206', '193', '206']
['OTHER']	['146', '153']	['19', '97']
['OTHER']	['188', '204']	['242', '381']
['OTHER', 'OTHER', 'OTHER', 'SADNESS', 'DISGUST']	['287', '294', '491', '499', '428', '435', '428', '435', '491', '499']	['295', '418', '399', '418', '399', '418', '436', '450', '462', '490']
['ANGER', 'FEAR']	['317', '329', '369', '384']	['340', '358', '400', '460']
['OTHER', 'SURPRISE']	['72', '124', '72', '124']	['243', '269', '81', '83']
['DISGUST', 'DISGUST']	['109', '130', '56', '68']	['43', '45', '43', '45']
['ANTICIPATION']	['136', '144']	['157', '170']
['OTHER', 'SURPRISE', 'OTHER']	['227', '269', '227', '269', '181', '221']	['164', '188', '164', '221', '164', '188']
['TRUST', 'OTHER']	['412', '424', '504', '511']	['543', '553', '456', '480']
['OTHER', 'OTHER']	['76', '84', '85', '94']	['27', '61', '68', '94']
['OTHER', 'JOY']	['170', '192', '170', '192']	['19', '123', '194', '221']
['OTHER', 'SADNESS']	['229', '252', '328', '335']	['274', '301', '345', '364']
['FEAR', 'OTHER']	['201', '221', '201', '221']	['105', '112', '105', '135']
['JOY', 'OTHER']	['156', '161', '156', '161']	['116', '146', '116', '146']
['OTHER', 'OTHER', 'JOY', 'DISGUST', 'OTHER']	['275', '285', '322', '327', '322', '327', '350', '355', '350', '355']	['258', '262', '328', '344', '328', '344', '356', '367', '356', '367']
['SURPRISE']	['72', '80']	['82', '142']
['SADNESS']	['128', '163']	['257', '300']
['OTHER']	['127', '132']	['133', '153']
['SADNESS']	['138', '143']	['39', '60']
['OTHER']	['86', '93']	['57', '60']
['OTHER', 'TRUST']	['207', '211', '207', '211']	['292', '377', '217', '232']
['SURPRISE', 'ANGER']	['65', '73', '74', '105']	['107', '154', '107', '154']
['OTHER']	['146', '158']	['162', '164']
['OTHER', 'ANGER', 'SURPRISE']	['162', '172', '256', '282', '291', '299']	['231', '238', '231', '238', '288', '343']
['ANTICIPATION']	['92', '96']	['100', '125']
['SURPRISE']	['177', '185']	['251', '269']
['TRUST']	['25', '67']	['25', '28']
['OTHER', 'JOY', 'TRUST', 'JOY', 'JOY', 'OTHER']	['135', '149', '118', '125', '44', '51', '44', '51', '101', '113', '101', '113']	['37', '40', '37', '40', '37', '40', '37', '40', '55', '91', '131', '180']
['OTHER', 'ANTICIPATION']	['95', '128', '51', '59']	['49', '50', '63', '80']
['DISGUST']	['51', '103']	['109', '148']
['ANTICIPATION']	['313', '326']	['327', '406']
['ANGER']	['60', '64']	['52', '53']
['SURPRISE', 'SADNESS', 'SADNESS']	['224', '232', '377', '381', '547', '560']	['233', '236', '393', '431', '393', '431']
['SURPRISE', 'OTHER', 'OTHER', 'ANGER']	['375', '384', '375', '384', '425', '432', '545', '555']	['365', '374', '385', '395', '385', '395', '530', '540']
['OTHER']	['118', '127']	['132', '183']
['ANGER', 'FEAR']	['218', '231', '253', '261']	['262', '282', '262', '282']
['ANGER']	['224', '240']	['208', '214']
['OTHER', 'ANGER']	['126', '153', '217', '224']	['174', '192', '174', '192']
['OTHER']	['195', '204']	['205', '215']
['OTHER']	['60', '82']	['51', '59']
['TRUST', 'JOY']	['304', '325', '509', '522']	['247', '257', '471', '480']
['ANTICIPATION', 'DISGUST', 'JOY']	['187', '194', '132', '151', '105', '109']	['99', '100', '99', '100', '110', '123']
['DISGUST']	['453', '462']	['402', '410']
['DISGUST', 'DISGUST', 'JOY', 'DISGUST']	['438', '443', '666', '671', '737', '747', '720', '728']	['534', '577', '698', '707', '698', '707', '729', '732']
['DISGUST']	['133', '137']	['138', '139']
['DISGUST']	['341', '366']	['310', '313']
['JOY', 'DISGUST']	['38', '48', '53', '57']	['102', '109', '102', '109']
['SADNESS']	['46', '60']	['20', '29']
['DISGUST']	['114', '120']	['32', '36']
['DISGUST']	['274', '282']	['347', '386']
['TRUST']	['248', '253']	['211', '241']
['SURPRISE']	['333', '343']	['295', '299']
['SURPRISE']	['310', '318']	['169', '244']
['SADNESS']	['310', '320']	['346', '457']
['OTHER', 'JOY', 'TRUST', 'OTHER', 'TRUST', 'JOY']	['236', '247', '559', '567', '398', '406', '494', '502', '656', '661', '656', '661']	['248', '268', '336', '339', '347', '358', '471', '479', '662', '670', '662', '670']
['OTHER']	['23', '27']	['28', '30']
['TRUST']	['67', '71']	['51', '53']
['TRUST']	['59', '63']	['64', '67']
['ANTICIPATION', 'TRUST']	['263', '271', '380', '390']	['277', '366', '277', '366']
['JOY', 'TRUST']	['76', '86', '181', '188']	['52', '64', '161', '177']
['OTHER']	['158', '166']	['167', '221']
['TRUST']	['110', '119']	['121', '144']
['SADNESS']	['136', '143']	['164', '171']
['TRUST']	['52', '57']	['58', '137']
['ANTICIPATION']	['247', '255']	['259', '268']
['SADNESS']	['185', '194']	['155', '208']
['SADNESS']	['110', '120']	['59', '102']
['ANTICIPATION']	['198', '204']	['211', '214']
['ANGER']	['157', '160']	['161', '163']
['SURPRISE']	['210', '218']	['232', '242']
['OTHER']	['32', '41']	['45', '70']
['OTHER']	['190', '221']	['121', '132']
['OTHER']	['226', '243']	['244', '247']
['TRUST', 'OTHER']	['226', '234', '192', '196']	['176', '186', '206', '241']
['OTHER']	['77', '89']	['48', '71']
['ANTICIPATION']	['213', '219']	['220', '240']
['ANTICIPATION']	['218', '222']	['93', '183']
['TRUST']	['58', '66']	['85', '94']
['OTHER']	['78', '84']	['63', '67']
['OTHER', 'FEAR']	['40', '45', '40', '45']	['7', '30', '49', '52']
['OTHER']	['162', '172']	['180', '237']
['SURPRISE', 'JOY']	['72', '80', '294', '312']	['86', '101', '287', '312']
['FEAR', 'SADNESS']	['188', '200', '118', '125']	['102', '117', '102', '117']
['DISGUST', 'ANGER', 'DISGUST']	['288', '298', '339', '348', '339', '348']	['247', '262', '313', '331', '369', '407']
['SADNESS']	['189', '196']	['76', '140']
['FEAR', 'ANGER']	['193', '197', '141', '147']	['0', '88', '0', '88']
['DISGUST']	['102', '110']	['111', '118']
['ANTICIPATION']	['51', '57']	['58', '73']
['ANTICIPATION']	['106', '112']	['82', '93']
['SURPRISE']	['39', '49']	['55', '201']
['FEAR', 'ANTICIPATION']	['53', '60', '76', '80']	['74', '75', '81', '118']
['ANTICIPATION']	['245', '249']	['253', '266']
['OTHER']	['148', '158']	['162', '170']
['DISGUST']	['69', '78']	['79', '83']
['TRUST']	['270', '285']	['277', '280']
['OTHER']	['132', '143']	['144', '159']
['TRUST', 'OTHER']	['118', '128', '78', '83']	['66', '83', '66', '83']
['ANGER']	['64', '81']	['59', '63']
['DISGUST']	['225', '229']	['191', '249']
['JOY', 'SURPRISE']	['287', '294', '277', '286']	['197', '269', '197', '269']
['ANTICIPATION']	['332', '339']	['343', '348']
['ANGER', 'DISGUST']	['175', '184', '160', '166']	['149', '154', '149', '154']
['TRUST']	['137', '142']	['68', '113']
['FEAR']	['119', '125']	['129', '132']
['OTHER']	['96', '104']	['136', '192']
['TRUST']	['125', '135']	['99', '102']
['SADNESS']	['81', '110']	['69', '80']
['ANGER']	['81', '92']	['162', '181']
['OTHER', 'SADNESS']	['95', '103', '93', '109']	['51', '82', '104', '108']
['SURPRISE', 'SURPRISE']	['235', '243', '120', '128']	['45', '67', '45', '67']
['FEAR']	['157', '167']	['146', '152']
['SADNESS']	['47', '50']	['1', '42']
['JOY', 'TRUST']	['76', '80', '107', '111']	['35', '36', '82', '97']
['JOY']	['59', '63']	['24', '28']
['TRUST']	['135', '140']	['146', '184']
['SURPRISE']	['56', '65']	['46', '48']
['TRUST', 'TRUST', 'JOY', 'TRUST']	['134', '139', '96', '100', '158', '162', '126', '130']	['94', '95', '101', '104', '101', '104', '131', '166']
['OTHER']	['236', '245']	['250', '261']
['OTHER']	['145', '195']	['93', '121']
['TRUST']	['79', '89']	['18', '25']
['FEAR']	['270', '279']	['280', '290']
['SADNESS']	['189', '192']	['65', '162']
['SURPRISE']	['65', '74']	['44', '54']
['JOY']	['360', '368']	['304', '333']
['SURPRISE']	['74', '83']	['0', '16']
['OTHER']	['85', '97']	['49', '63']
['ANTICIPATION', 'SURPRISE']	['55', '59', '107', '116']	['60', '89', '120', '155']
['ANTICIPATION']	['373', '390']	['411', '427']
['OTHER']	['198', '203']	['207', '227']
['TRUST']	['33', '41']	['42', '46']
['OTHER']	['90', '120']	['74', '86']
['FEAR']	['222', '229']	['208', '215']
['ANTICIPATION']	['128', '131']	['132', '136']
['ANGER']	['185', '194']	['198', '206']
['ANTICIPATION']	['386', '395']	['399', '425']
['ANTICIPATION']	['133', '140']	['164', '212']
['DISGUST']	['134', '145']	['151', '159']
['TRUST']	['141', '151']	['152', '164']
['ANGER', 'DISGUST', 'ANTICIPATION']	['229', '241', '281', '292', '340', '347']	['398', '404', '242', '256', '398', '404']
['FEAR', 'OTHER']	['163', '179', '163', '179']	['157', '161', '189', '287']
['TRUST', 'OTHER']	['366', '373', '238', '246']	['152', '154', '263', '373']
['SADNESS', 'FEAR']	['377', '406', '145', '151']	['125', '130', '125', '130']
['OTHER']	['35', '41']	['42', '51']
['OTHER']	['206', '231']	['192', '204']
['DISGUST']	['125', '139']	['140', '145']
['OTHER']	['87', '100']	['4', '82']
['ANGER']	['21', '31']	['62', '70']
['SADNESS', 'DISGUST']	['88', '117', '243', '262']	['190', '224', '225', '233']
['OTHER']	['46', '56']	['112', '134']
['FEAR']	['247', '253']	['254', '270']
['OTHER']	['348', '355']	['260', '268']
['OTHER']	['262', '287']	['291', '305']
['SADNESS']	['136', '169']	['52', '55']
['TRUST']	['251', '279']	['204', '225']
['SURPRISE']	['38', '47']	['48', '53']
['SURPRISE']	['125', '136']	['122', '124']
['SURPRISE']	['205', '211']	['229', '250']
['SADNESS']	['678', '706']	['727', '806']
['SADNESS', 'TRUST']	['76', '91', '51', '70']	['25', '49', '111', '163']
['SURPRISE']	['221', '248']	['174', '188']
['OTHER', 'SURPRISE']	['114', '122', '164', '175']	['74', '97', '154', '163']
['SADNESS']	['158', '164']	['165', '172']
['SURPRISE']	['70', '78']	['39', '48']
['ANTICIPATION']	['30', '37']	['38', '190']
['ANGER']	['95', '114']	['72', '75']
['OTHER', 'SURPRISE']	['134', '142', '134', '142']	['1', '29', '95', '99']
['TRUST']	['61', '66']	['21', '35']
['ANGER']	['206', '213']	['183', '193']
['OTHER', 'JOY']	['125', '129', '125', '129']	['0', '31', '130', '146']
['ANTICIPATION', 'TRUST']	['191', '197', '199', '219']	['177', '187', '188', '190']
['DISGUST']	['54', '71']	['0', '17']
['TRUST']	['68', '77']	['40', '51']
['ANTICIPATION', 'TRUST']	['136', '141', '203', '211']	['146', '182', '146', '215']
['ANTICIPATION']	['242', '247']	['252', '280']
['OTHER']	['50', '85']	['47', '49']
['TRUST', 'TRUST']	['296', '301', '308', '313']	['336', '343', '336', '343']
['ANGER']	['56', '61']	['62', '78']
['SURPRISE', 'SADNESS']	['102', '111', '116', '128']	['129', '169', '129', '169']
['FEAR', 'DISGUST']	['255', '261', '245', '250']	['189', '215', '189', '215']
['DISGUST']	['116', '127']	['139', '161']
['ANTICIPATION']	['176', '184']	['185', '213']
['OTHER', 'OTHER', 'DISGUST']	['90', '98', '129', '135', '290', '300']	['103', '110', '103', '110', '256', '273']
['JOY']	['27', '32']	['19', '24']
['DISGUST']	['173', '189']	['190', '209']
['OTHER']	['172', '184']	['112', '115']
['JOY', 'JOY']	['81', '93', '64', '68']	['24', '31', '24', '31']
['DISGUST']	['104', '109']	['110', '125']
['SADNESS', 'SADNESS']	['365', '374', '462', '473']	['478', '715', '478', '715']
['FEAR']	['339', '354']	['177', '236']
['ANTICIPATION', 'JOY', 'FEAR', 'OTHER']	['140', '144', '398', '408', '267', '272', '398', '408']	['149', '212', '213', '218', '213', '218', '417', '432']
['SADNESS', 'DISGUST']	['321', '333', '397', '439']	['334', '343', '403', '411']
['SURPRISE']	['382', '392']	['289', '312']
['FEAR']	['86', '107']	['114', '125']
['ANGER']	['113', '144']	['214', '253']
['OTHER']	['119', '142']	['151', '195']
['OTHER']	['32', '56']	['0', '23']
['SADNESS']	['145', '155']	['20', '59']
['FEAR']	['30', '36']	['37', '66']
['FEAR']	['306', '316']	['180', '238']
['OTHER']	['80', '84']	['88', '99']
['OTHER']	['92', '100']	['115', '134']
['JOY']	['300', '305']	['214', '226']
['OTHER']	['253', '263']	['264', '302']
['TRUST', 'ANTICIPATION', 'TRUST']	['334', '338', '261', '271', '312', '319']	['242', '244', '272', '288', '279', '347']
['TRUST']	['79', '105']	['69', '75']
['DISGUST', 'SADNESS']	['65', '75', '65', '75']	['81', '122', '81', '122']
['SADNESS', 'JOY']	['227', '237', '261', '268']	['161', '163', '227', '237']
['SURPRISE']	['137', '145']	['146', '181']
['SURPRISE', 'ANGER']	['23', '31', '64', '71']	['75', '85', '75', '85']
['OTHER']	['67', '76']	['1', '27']
['SURPRISE', 'DISGUST']	['113', '122', '159', '164']	['136', '138', '136', '138']
['SADNESS']	['25', '42']	['72', '149']
['SURPRISE']	['381', '387']	['388', '413']
['SURPRISE']	['37', '48']	['67', '75']
['OTHER']	['96', '105']	['55', '67']
['OTHER']	['95', '103']	['66', '84']
['ANGER']	['16', '24']	['69', '90']
['TRUST']	['191', '198']	['199', '201']
['TRUST']	['234', '240']	['191', '200']
['TRUST', 'OTHER']	['85', '94', '85', '94']	['116', '136', '95', '98']
['TRUST']	['135', '141']	['142', '151']
['FEAR']	['113', '117']	['123', '212']
['ANGER']	['138', '148']	['149', '154']
['FEAR', 'FEAR', 'SADNESS']	['44', '50', '111', '129', '44', '50']	['59', '67', '59', '67', '59', '67']
['SURPRISE']	['190', '195']	['223', '260']
['ANGER', 'ANTICIPATION']	['197', '202', '278', '288']	['211', '272', '298', '336']
['ANGER']	['340', '348']	['352', '364']
['ANGER', 'DISGUST']	['235', '243', '235', '243']	['228', '230', '228', '230']
['JOY']	['97', '102']	['79', '89']
['SADNESS']	['375', '381']	['313', '367']
['JOY']	['261', '269']	['279', '375']
['JOY', 'SADNESS']	['293', '301', '306', '310']	['302', '325', '326', '388']
['OTHER']	['152', '166']	['15', '128']
['SADNESS']	['133', '193']	['63', '109']
['ANTICIPATION']	['128', '143']	['144', '189']
['OTHER']	['31', '38']	['0', '3']
['JOY']	['193', '198']	['128', '140']
['DISGUST']	['69', '75']	['79', '81']
['OTHER', 'DISGUST']	['92', '99', '92', '99']	['38', '74', '105', '130']
['DISGUST']	['204', '228']	['185', '196']
['SADNESS']	['178', '223']	['276', '344']
['DISGUST']	['257', '263']	['235', '240']
['ANGER']	['178', '185']	['128', '177']
['DISGUST']	['380', '387']	['391', '393']
['FEAR']	['202', '218']	['225', '261']
['FEAR']	['429', '439']	['468', '478']
['TRUST']	['90', '101']	['109', '126']
['ANTICIPATION']	['156', '223']	['144', '154']
['OTHER', 'ANTICIPATION']	['141', '148', '177', '183']	['149', '164', '184', '193']
['FEAR']	['230', '239']	['203', '215']
['FEAR']	['73', '124']	['143', '168']
['FEAR']	['91', '95']	['81', '88']
['FEAR', 'OTHER', 'DISGUST']	['190', '196', '227', '234', '330', '339']	['200', '203', '235', '295', '368', '401']
['OTHER']	['185', '192']	['144', '176']
['OTHER']	['73', '88']	['116', '128']
['ANTICIPATION', 'SURPRISE']	['174', '178', '233', '241']	['199', '229', '199', '229']
['OTHER']	['181', '187']	['192', '197']
['SADNESS']	['106', '205']	['87', '100']
['FEAR', 'OTHER']	['157', '165', '348', '353']	['169', '193', '272', '315']
['SURPRISE']	['221', '233']	['190', '208']
['FEAR', 'OTHER']	['196', '200', '122', '131']	['99', '112', '99', '112']
['OTHER']	['155', '160']	['161', '163']
['OTHER']	['100', '112']	['45', '89']
['ANGER']	['110', '120']	['122', '124']
['TRUST']	['76', '84']	['90', '114']
['OTHER']	['53', '74']	['78', '103']
['ANGER']	['172', '180']	['181', '343']
['ANTICIPATION']	['264', '270']	['281', '321']
['JOY']	['134', '164']	['95', '120']
['SADNESS']	['102', '126']	['132', '208']
['SADNESS', 'FEAR', 'FEAR']	['177', '182', '184', '195', '196', '204']	['210', '221', '210', '221', '210', '221']
['ANTICIPATION']	['236', '263']	['137', '155']
['FEAR']	['108', '112']	['113', '126']
['ANTICIPATION', 'ANTICIPATION', 'FEAR']	['278', '284', '362', '369', '266', '277']	['110', '132', '250', '258', '250', '258']
['FEAR']	['226', '236']	['210', '223']
['SADNESS', 'TRUST']	['147', '151', '138', '142']	['68', '108', '68', '108']
['OTHER']	['187', '198']	['45', '116']
['OTHER']	['144', '156']	['164', '167']
['DISGUST']	['124', '129']	['65', '80']
['OTHER', 'ANGER']	['256', '262', '276', '284']	['266', '269', '266', '269']
['ANTICIPATION']	['281', '295']	['358', '383']
['DISGUST']	['115', '153']	['102', '109']
['FEAR']	['179', '210']	['13', '55']
['FEAR']	['39', '45']	['46', '73']
['FEAR']	['133', '143']	['103', '111']
['FEAR', 'OTHER']	['180', '186', '259', '267']	['192', '209', '192', '209']
['OTHER']	['48', '56']	['1', '36']
['FEAR', 'ANTICIPATION']	['214', '220', '165', '187']	['79', '127', '79', '127']
['OTHER']	['149', '178']	['131', '141']
['FEAR']	['49', '76']	['81', '105']
['JOY']	['31', '37']	['38', '41']
['JOY']	['175', '196']	['108', '149']
['SADNESS', 'OTHER', 'TRUST', 'OTHER']	['98', '107', '278', '287', '264', '272', '264', '272']	['111', '114', '217', '249', '217', '249', '251', '262']
['ANGER']	['86', '92']	['94', '128']
['SADNESS', 'ANTICIPATION']	['138', '161', '122', '137']	['89', '116', '162', '212']
['JOY', 'SADNESS']	['101', '110', '286', '296']	['175', '243', '262', '270']
['TRUST']	['265', '274']	['238', '258']
['OTHER']	['238', '248']	['15', '88']
['ANGER', 'DISGUST']	['110', '131', '140', '164']	['132', '164', '132', '164']
['SURPRISE']	['70', '78']	['52', '54']
['SURPRISE']	['194', '211']	['138', '193']
['TRUST']	['140', '147']	['137', '139']
['SADNESS']	['174', '178']	['192', '304']
['SURPRISE']	['210', '218']	['276', '302']
['SURPRISE']	['468', '487']	['345', '367']
['DISGUST']	['54', '63']	['115', '146']
['FEAR']	['79', '88']	['134', '151']
['SADNESS', 'ANTICIPATION']	['76', '102', '76', '87']	['126', '147', '126', '147']
['JOY', 'FEAR']	['184', '191', '241', '248']	['195', '227', '249', '274']
['JOY', 'JOY']	['276', '285', '382', '393']	['178', '242', '397', '405']
['FEAR']	['344', '353']	['354', '360']
['SURPRISE']	['349', '362']	['66', '78']
['FEAR', 'SADNESS']	['209', '216', '228', '234']	['239', '255', '239', '255']
['SADNESS']	['175', '213']	['80', '86']
['OTHER']	['99', '105']	['106', '121']
['OTHER', 'DISGUST']	['90', '98', '49', '59']	['41', '44', '68', '71']
['DISGUST']	['174', '179']	['188', '210']
['SADNESS', 'SURPRISE']	['177', '196', '188', '196']	['200', '225', '200', '225']
['OTHER']	['423', '461']	['463', '631']
['DISGUST']	['65', '73']	['81', '91']
['TRUST']	['53', '81']	['51', '52']
['SADNESS']	['114', '120']	['133', '151']
['OTHER', 'FEAR', 'OTHER']	['151', '159', '264', '274', '264', '274']	['143', '146', '147', '150', '367', '402']
['OTHER']	['158', '173']	['123', '153']
['TRUST']	['398', '407']	['358', '364']
['OTHER', 'TRUST']	['65', '69', '65', '69']	['21', '44', '75', '78']
['JOY']	['59', '64']	['65', '75']
['ANTICIPATION']	['82', '90']	['94', '212']
['OTHER', 'SADNESS', 'SADNESS', 'SADNESS']	['263', '272', '153', '161', '263', '272', '236', '244']	['140', '152', '162', '214', '162', '214', '162', '214']
['OTHER']	['433', '449']	['409', '423']
['JOY']	['40', '46']	['80', '101']
['JOY', 'SADNESS']	['132', '138', '132', '138']	['144', '146', '144', '146']
['SADNESS']	['154', '160']	['161', '168']
['DISGUST']	['96', '115']	['50', '53']
['SADNESS']	['377', '387']	['254', '300']
['ANTICIPATION']	['237', '243']	['244', '290']
['JOY']	['150', '158']	['131', '144']
['SADNESS']	['73', '170']	['173', '180']
['JOY']	['222', '240']	['188', '197']
['ANGER']	['73', '91']	['51', '54']
['ANGER', 'SURPRISE']	['34', '62', '54', '62']	['8', '27', '30', '33']
['SURPRISE', 'ANGER']	['68', '76', '38', '45']	['27', '30', '83', '86']
['JOY', 'SADNESS', 'OTHER']	['115', '124', '130', '138', '198', '206']	['139', '144', '139', '144', '337', '359']
['TRUST']	['160', '168']	['172', '195']
['FEAR']	['49', '52']	['56', '96']
['FEAR']	['368', '374']	['375', '422']
['OTHER', 'DISGUST']	['192', '199', '192', '199']	['269', '358', '203', '211']
['OTHER', 'TRUST']	['86', '93', '120', '124']	['75', '82', '157', '193']
['SADNESS']	['106', '110']	['163', '219']
['OTHER']	['311', '321']	['268', '285']
['SADNESS']	['619', '626']	['593', '602']
['TRUST', 'TRUST']	['152', '161', '304', '321']	['184', '302', '184', '302']
['ANTICIPATION']	['77', '85']	['50', '66']
['ANTICIPATION']	['243', '252']	['265', '294']
['SURPRISE', 'SURPRISE']	['122', '130', '106', '130']	['146', '164', '146', '164']
['TRUST']	['152', '159']	['160', '163']
['OTHER']	['295', '300']	['247', '267']
['OTHER']	['103', '112']	['114', '216']
['DISGUST']	['341', '348']	['281', '288']
['DISGUST']	['110', '118']	['119', '127']
['JOY']	['304', '313']	['240', '313']
['FEAR']	['54', '63']	['98', '118']
['FEAR']	['101', '123']	['0', '86']
['OTHER']	['37', '43']	['8', '20']
['TRUST']	['43', '48']	['54', '95']
['TRUST']	['45', '49']	['50', '52']
['OTHER', 'SURPRISE', 'JOY', 'OTHER']	['133', '142', '133', '142', '216', '221', '216', '221']	['235', '285', '159', '208', '159', '208', '235', '285']
['OTHER']	['215', '218']	['160', '176']
['ANTICIPATION']	['46', '56']	['21', '24']
['ANTICIPATION']	['289', '296']	['297', '341']
['JOY']	['294', '302']	['267', '289']
['FEAR']	['42', '49']	['66', '108']
['JOY']	['169', '183']	['184', '195']
['SURPRISE', 'ANGER']	['32', '40', '81', '88']	['90', '186', '90', '186']
['SURPRISE']	['31', '37']	['41', '54']
['OTHER', 'SURPRISE']	['120', '129', '120', '129']	['73', '111', '145', '152']
['DISGUST']	['231', '244']	['116', '153']
['SURPRISE']	['150', '159']	['180', '238']
['FEAR']	['304', '313']	['420', '425']
['ANTICIPATION']	['134', '138']	['139', '182']
['TRUST']	['131', '139']	['140', '157']
['ANTICIPATION']	['53', '63']	['12', '15']
['JOY']	['647', '664']	['668', '675']
['TRUST']	['184', '189']	['193', '202']
['SURPRISE', 'OTHER']	['197', '205', '197', '205']	['69', '139', '207', '244']
['TRUST', 'ANGER']	['81', '91', '114', '119']	['97', '119', '123', '180']
['SURPRISE', 'ANTICIPATION']	['259', '267', '251', '255']	['222', '225', '283', '510']
['OTHER']	['218', '224']	['283', '314']
['OTHER', 'DISGUST', 'FEAR']	['153', '157', '209', '217', '153', '157']	['88', '105', '128', '141', '128', '141']
['JOY', 'OTHER', 'FEAR']	['251', '258', '222', '229', '272', '298']	['160', '171', '204', '207', '230', '244']
['FEAR']	['127', '135']	['136', '173']
['FEAR']	['170', '175']	['109', '144']
['SURPRISE']	['11', '20']	['59', '79']
['SADNESS', 'ANGER']	['91', '96', '115', '123']	['130', '132', '130', '132']
['ANTICIPATION', 'OTHER']	['45', '55', '50', '55']	['56', '74', '76', '101']
['DISGUST']	['29', '37']	['38', '44']
['FEAR']	['68', '75']	['51', '60']
['TRUST']	['25', '29']	['30', '64']
['JOY']	['107', '112']	['76', '91']
['OTHER', 'TRUST']	['262', '269', '301', '314']	['273', '288', '318', '330']
['FEAR']	['95', '101']	['102', '121']
